Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,1,0.2638036596063277,0.23999758956641176,0.9799453053783045,0.9635036496350365,2.855050563812256,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,2,0.22416335112035762,0.23707156263998824,0.9826800364630811,0.9635036496350365,2.7943387031555176,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,3,0.21917842960183798,0.2262735969393793,0.9863263445761167,0.9635036496350365,2.8633899688720703,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,4,0.2162605473532281,0.24553971329744714,0.9854147675478578,0.9635036496350365,2.8568317890167236,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,5,0.21596224178155118,0.2200981019622218,0.9826800364630811,0.9854014598540146,2.7905678749084473,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,6,0.21360263311276137,0.2340998669175336,0.9872379216043756,0.9635036496350365,2.863471508026123,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,7,0.2129131536268601,0.24104304165735732,0.9863263445761167,0.9635036496350365,2.798452138900757,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,8,0.21341498003238532,0.24533863942118456,0.98359161349134,0.9635036496350365,2.8652055263519287,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,9,0.21310010469546617,0.23343627666034839,0.98359161349134,0.9854014598540146,2.8608310222625732,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,10,0.21311190156580212,0.21993980910221156,0.9845031905195989,0.9635036496350365,2.8162448406219482,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,11,0.21208810442235107,0.21838468737410802,0.98359161349134,0.9635036496350365,2.8726956844329834,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,12,0.2114277686193626,0.21930333906716673,0.9845031905195989,0.9635036496350365,2.9675159454345703,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,13,0.2119319561593839,0.22584042116238254,0.9854147675478578,0.9854014598540146,2.864478588104248,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,14,0.21146884215562695,0.21859998174392395,0.98359161349134,0.9635036496350365,2.785893201828003,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,15,0.21176616850231816,0.23412121832370758,0.9854147675478578,0.9635036496350365,2.8929693698883057,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,16,0.212046094761725,0.22119861928215862,0.98359161349134,0.9635036496350365,13.209221839904785,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,17,0.2116232598056115,0.2177408031956123,0.9826800364630811,0.9854014598540146,2.845179796218872,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,18,0.2116929722598388,0.22335656868280285,0.9863263445761167,0.9635036496350365,2.842160701751709,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,19,0.21147667402664747,0.22981439900659298,0.98359161349134,0.9635036496350365,2.7799887657165527,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,20,0.2109018185243024,0.24365797584509327,0.9826800364630811,0.9635036496350365,2.841146469116211,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,21,0.21156080504548255,0.22645549813326257,0.9845031905195989,0.9635036496350365,2.8508830070495605,0.2037321727560914,1.0
BankNote_Authentication,sequent_quantum_list,4,0.1,128,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,22,0.21181487580701885,0.21934320902737386,0.9826800364630811,0.9854014598540146,2.7852327823638916,0.2037321727560914,1.0
