Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,1,2.1598367747426033,2.0973049095273018,0.34256,0.3936,525.0438456535339,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,2,2.0726031528115274,2.059299075961113,0.46158,0.5093,522.1755883693695,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,3,2.050755848956108,2.037452815949917,0.46446,0.4573,518.75776720047,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,4,2.0271848153591154,2.0182583469748496,0.44986,0.4473,525.8118715286255,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,5,2.0143861835718155,2.0088391379117967,0.4484,0.4488,520.5057663917542,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,6,2.005075589668751,1.9991328042149543,0.46598,0.4921,523.82799077034,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,7,1.9910198762536049,1.9831133360862732,0.49864,0.5221,517.8313534259796,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,8,1.981267544043064,1.9788356023430824,0.52396,0.5362,530.8539924621582,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,9,1.9773368342399598,1.975395146548748,0.5291,0.5089,519.3448781967163,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,10,1.9743161699056626,1.9723768591284752,0.53206,0.5479,517.6048214435577,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,11,1.9716813679814338,1.9697270185351372,0.53736,0.5429,519.5685298442841,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,12,1.9693906032681465,1.9676668116450309,0.54122,0.546,517.5022163391113,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,13,1.9674179096460342,1.9664501799941063,0.5463,0.5523,523.5027942657471,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,14,1.9656118435382843,1.9642519425153733,0.54956,0.5652,516.5823414325714,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,15,1.9641085761070252,1.962746256828308,0.55408,0.5536,529.5231940746307,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,16,1.9626814576387406,1.9616848950982093,0.55832,0.564,517.9647223949432,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,17,1.9613995457291602,1.9601456305384637,0.56014,0.5627,526.7255754470825,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,18,1.9602133318662645,1.959244072675705,0.56424,0.5778,518.8520069122314,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,19,1.9591500216960906,1.9579609141349792,0.56722,0.5798,518.50457072258,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,20,1.9581251102685928,1.95738754093647,0.57014,0.5633,527.7471823692322,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,21,1.9571765307664872,1.955816058754921,0.57232,0.5729,520.8759026527405,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,22,1.9563142178535462,1.9555361565351486,0.5729,0.5762,532.7489814758301,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,23,1.9555568301677704,1.955131446003914,0.57564,0.5441,520.8608705997467,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,24,1.9548073080778121,1.953579748094082,0.5759,0.5797,528.0061564445496,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,25,1.95415162576437,1.9529727772474288,0.57792,0.5843,522.996698141098,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,26,1.9535104735136033,1.953242379128933,0.58106,0.5798,520.8226101398468,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,27,1.9528963137745858,1.9518645631670952,0.57942,0.5902,526.5955169200897,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,28,1.952370612680912,1.9516535918116569,0.58224,0.6027,521.1612503528595,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,29,1.9517745992779731,1.9511035213470458,0.5839,0.5805,533.3230607509613,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,30,1.9511882381796837,1.9500883309841155,0.58426,0.5846,521.8281502723694,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,31,1.9508145772337913,1.9494836711883545,0.58596,0.5914,527.6557593345642,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,32,1.9503035768151282,1.949243345439434,0.58648,0.6004,521.9404783248901,1.9405249913930893,0.6093
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.01,5,50,6,33,1.9498658606529236,1.9488074670434,0.58702,0.5968,518.4510300159454,1.9405249913930893,0.6093
